Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Kevin Durant,21,OKC,SF,82,82,39.5,9.7,20.3,.476,1.6,4.3,.365,8.1,16.1,.506,.514,9.2,10.2,.900,1.3,6.3,7.6,2.8,1.4,1.0,3.3,2.1,30.1,"MVP-2,AS,NBA1"
LeBron James,25,CLE,SF,76,76,39.0,10.1,20.1,.503,1.7,5.1,.333,8.4,15.0,.560,.545,7.8,10.2,.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,"MVP-1,DPOY-4,AS,NBA1,DEF1"
Carmelo Anthony,25,DEN,SF,69,69,38.2,10.0,21.8,.458,0.9,2.7,.316,9.1,19.1,.478,.478,7.4,8.9,.830,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,"MVP-6,AS,NBA2"
Kobe Bryant,31,LAL,SG,73,73,38.8,9.8,21.5,.456,1.4,4.1,.329,8.5,17.4,.487,.488,6.0,7.4,.811,1.1,4.3,5.4,5.0,1.5,0.3,3.2,2.6,27.0,"MVP-3,DPOY-12,AS,NBA1,DEF1"
Dwyane Wade,28,MIA,SG,77,77,36.3,9.3,19.6,.476,0.9,3.2,.300,8.4,16.5,.509,.500,6.9,9.1,.761,1.4,3.5,4.8,6.5,1.8,1.1,3.3,2.4,26.6,"MVP-5,DPOY-10,AS,NBA1,DEF2"
Monta Ellis,24,GSW,SG,64,64,41.4,9.9,22.0,.449,1.2,3.6,.338,8.7,18.4,.470,.476,4.6,6.1,.753,0.7,3.3,4.0,5.3,2.2,0.4,3.8,3.0,25.5,
Dirk Nowitzki,31,DAL,PF,81,80,37.5,8.9,18.5,.481,0.6,1.5,.421,8.3,17.0,.487,.498,6.6,7.2,.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,"MVP-7,AS,NBA2"
Danny Granger,26,IND,SF,62,62,36.7,7.9,18.4,.428,2.5,7.1,.361,5.3,11.3,.471,.498,5.9,6.9,.848,1.1,4.4,5.5,2.8,1.5,0.8,2.5,3.0,24.1,
Chris Bosh,25,TOR,C,70,70,36.1,8.6,16.5,.518,0.1,0.3,.364,8.5,16.2,.521,.522,6.7,8.4,.797,2.9,7.9,10.8,2.4,0.6,1.0,2.4,2.4,24.0,"MVP-12,AS"
Amar'e Stoudemire,27,PHO,PF,82,82,34.6,8.6,15.4,.557,0.0,0.1,.167,8.6,15.3,.559,.557,5.9,7.7,.771,2.8,6.1,8.9,1.0,0.6,1.0,2.6,3.4,23.1,"MVP-10,AS,NBA2"
Gilbert Arenas,28,WAS,PG,32,32,36.5,7.9,19.3,.411,2.0,5.7,.348,5.9,13.6,.437,.462,4.8,6.5,.739,0.5,3.6,4.2,7.2,1.3,0.3,3.7,3.0,22.6,
Brandon Roy,25,POR,SG,65,65,37.2,7.6,16.0,.473,1.1,3.4,.330,6.4,12.6,.512,.508,5.3,6.8,.780,1.1,3.3,4.4,4.7,0.9,0.2,2.0,2.1,21.5,"AS,NBA3"
Joe Johnson,28,ATL,SG,76,76,38.0,8.4,18.2,.458,1.7,4.6,.369,6.7,13.6,.488,.505,2.9,3.5,.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,"MVP-12,AS,NBA3"
Zach Randolph,28,MEM,PF,81,81,37.7,8.0,16.5,.488,0.2,0.6,.288,7.9,15.9,.496,.494,4.5,5.7,.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8,AS
Derrick Rose,21,CHI,PG,78,78,36.8,8.6,17.6,.489,0.2,0.8,.267,8.4,16.8,.500,.495,3.3,4.3,.766,0.8,2.9,3.8,6.0,0.7,0.3,2.8,1.2,20.8,AS
Kevin Martin,26,2TM,SG,46,43,35.5,6.3,15.1,.417,1.5,4.6,.333,4.8,10.5,.453,.468,6.5,7.4,.876,0.6,2.9,3.6,2.4,1.0,0.1,2.0,2.1,20.6,
Stephen Jackson,31,2TM,SG,81,81,38.6,7.4,17.5,.423,1.6,4.9,.328,5.8,12.7,.460,.469,4.2,5.4,.779,1.0,4.0,5.0,3.7,1.6,0.5,3.2,2.4,20.6,MVP-12
David Lee,26,NYK,C,81,81,37.3,8.5,15.5,.545,0.0,0.1,.000,8.5,15.4,.549,.545,3.3,4.1,.812,2.8,8.9,11.7,3.6,1.0,0.5,2.3,3.2,20.2,"DPOY-17,AS"
Tyreke Evans,20,SAC,SG,72,72,37.2,7.4,16.2,.458,0.5,2.0,.255,6.9,14.2,.485,.473,4.8,6.5,.748,0.9,4.4,5.3,5.8,1.5,0.4,3.0,2.8,20.1,ROY-1
Corey Maggette,30,GSW,PF,70,49,29.7,6.5,12.7,.516,0.2,0.7,.260,6.3,11.9,.531,.523,6.6,7.9,.835,1.3,4.0,5.3,2.5,0.7,0.1,2.4,3.3,19.8,
Aaron Brooks,25,HOU,PG,82,82,35.6,7.0,16.2,.432,2.5,6.4,.398,4.5,9.8,.454,.511,3.0,3.6,.822,0.7,2.0,2.6,5.3,0.8,0.2,2.8,2.4,19.6,MIP-1
Rudy Gay,23,MEM,SF,80,80,39.7,7.5,16.1,.466,0.8,2.5,.327,6.7,13.6,.492,.491,3.8,5.0,.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,
Chauncey Billups,33,DEN,PG,73,73,34.1,5.5,13.2,.418,2.2,5.6,.386,3.4,7.6,.441,.499,6.4,7.0,.910,0.3,2.8,3.1,5.6,1.1,0.1,2.4,2.1,19.5,"MVP-12,AS"
Carlos Boozer,28,UTA,PF,78,78,34.3,7.9,14.1,.562,0.0,0.0,,7.9,14.1,.562,.562,3.7,4.9,.742,2.3,8.9,11.2,3.2,1.1,0.5,2.7,3.5,19.5,
David West,29,NOH,PF,81,81,36.4,7.6,15.1,.505,0.1,0.3,.259,7.6,14.8,.510,.508,3.7,4.2,.865,2.0,5.4,7.5,3.0,0.9,0.7,2.1,2.9,19.0,
Brook Lopez,21,NJN,C,82,82,36.9,6.9,13.8,.499,0.0,0.0,.000,6.9,13.7,.500,.499,5.1,6.2,.817,3.3,5.4,8.6,2.3,0.7,1.7,2.5,3.1,18.8,
Antawn Jamison,33,2TM,PF,66,64,36.5,7.2,15.7,.461,1.3,3.7,.344,6.0,12.0,.498,.502,2.9,4.5,.647,2.1,6.3,8.4,1.3,1.1,0.3,1.4,2.7,18.7,
Chris Paul,24,NOH,PG,45,45,38.0,7.0,14.2,.493,1.2,2.8,.409,5.8,11.3,.514,.534,3.6,4.2,.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7,AS
Deron Williams,25,UTA,PG,76,76,36.9,6.5,13.9,.469,1.3,3.4,.371,5.2,10.4,.501,.515,4.4,5.5,.801,0.7,3.3,4.0,10.5,1.3,0.2,3.3,2.7,18.7,"MVP-9,AS,NBA2"
Chris Kaman,27,LAC,C,76,76,34.3,7.8,15.8,.490,0.0,0.1,.000,7.8,15.7,.492,.490,3.0,4.0,.749,2.4,6.8,9.3,1.6,0.5,1.2,2.9,2.8,18.5,AS
Pau Gasol,29,LAL,C,65,65,37.0,7.0,13.0,.536,0.0,0.1,.000,7.0,12.9,.539,.536,4.4,5.6,.790,3.7,7.6,11.3,3.4,0.6,1.7,2.2,2.3,18.3,"AS,NBA3"
Dwight Howard,24,ORL,C,82,82,34.7,6.2,10.2,.612,0.0,0.1,.000,6.2,10.1,.617,.612,5.9,10.0,.592,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3,"MVP-4,DPOY-1,AS,NBA1,DEF1"
Paul Pierce,32,BOS,SF,71,71,34.0,5.8,12.2,.472,1.5,3.7,.414,4.2,8.5,.497,.535,5.2,6.1,.852,0.5,3.8,4.4,3.1,1.2,0.4,2.3,2.8,18.3,AS
Gerald Wallace,27,CHA,SF,76,76,41.0,6.0,12.4,.484,0.7,1.8,.371,5.3,10.6,.503,.511,5.6,7.2,.776,2.0,8.1,10.0,2.1,1.5,1.1,2.3,2.6,18.2,"DPOY-3,AS,DEF1"
Richard Hamilton,31,DET,SG,46,46,33.7,6.4,15.6,.409,0.9,3.0,.297,5.5,12.6,.435,.437,4.4,5.2,.846,0.7,2.0,2.7,4.4,0.7,0.1,2.5,2.5,18.1,
Jamal Crawford,29,ATL,SG,79,0,31.1,6.3,14.0,.449,2.1,5.4,.382,4.2,8.6,.491,.523,3.4,4.0,.857,0.4,2.1,2.5,3.0,0.8,0.2,1.7,1.7,18.0,6MOY-1
LaMarcus Aldridge,24,POR,PF,78,78,37.5,7.4,15.0,.495,0.1,0.2,.313,7.4,14.8,.498,.497,2.9,3.9,.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,
Tim Duncan,33,SAS,C,78,77,31.3,7.2,13.9,.518,0.0,0.1,.182,7.2,13.7,.522,.519,3.5,4.8,.725,2.8,7.3,10.1,3.2,0.6,1.5,1.8,1.9,17.9,"DPOY-14,AS,NBA3,DEF2"
Al Harrington,29,NYK,PF,72,15,30.5,6.2,14.3,.435,1.9,5.7,.342,4.3,8.6,.496,.503,3.3,4.4,.757,1.2,4.4,5.6,1.5,0.9,0.4,1.8,2.9,17.7,6MOY-11
Luol Deng,24,CHI,SF,70,69,37.9,6.8,14.5,.466,0.5,1.2,.386,6.3,13.3,.474,.482,3.6,4.7,.764,1.9,5.4,7.3,2.0,0.9,0.9,1.9,1.8,17.6,
Stephen Curry,21,GSW,PG,80,77,36.2,6.6,14.3,.462,2.1,4.8,.437,4.5,9.5,.474,.535,2.2,2.5,.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5,ROY-2
O.J. Mayo,22,MEM,SG,82,82,38.0,6.6,14.4,.458,1.7,4.3,.383,5.0,10.1,.490,.516,2.6,3.2,.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,2.1,17.5,
Andrea Bargnani,24,TOR,PF,80,80,35.0,6.7,14.3,.470,1.5,4.1,.372,5.2,10.2,.509,.523,2.3,2.9,.774,1.3,4.9,6.2,1.2,0.3,1.4,1.5,2.7,17.2,
